Reference, Value, Footprint, Datasheet, LCSC Part Number, Manufacturer, Mfg part no.
"U1","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","C95209","Espressif Systems","ESP32-WROOM-32"
"J9","PWR_IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal","~","C90087","Phoenix Contact","MKDS3/4-5.08"
"F1","15A 2410","projfp:Littelfuse_0451","Bel 0679H9150-01","C44480","Littelfuse","0451015.MRL"
"F2","30A 3912","projfp:Littelfuse_456","Bel 0678H9300-02","C187558","Littelfuse","0456030.ER"
"D4","1N4007W","projfp:D_SOD-123F","http://www.vishay.com/docs/88503/1n4001.pdf","C108803","Shandong Jingdao Microelectronics","1N4007W"
"D5","1N4007W","projfp:D_SOD-123F","http://www.vishay.com/docs/88503/1n4001.pdf","C108803","Shandong Jingdao Microelectronics","1N4007W"
"U2","TPS54340DDA","Package_SO:TI_SO-PowerPAD-8_ThermalVias","http://www.ti.com/lit/ds/symlink/tps54340.pdf","C45886","Texas Instruments","TPS54340DDAR"
"C10","100nF50V","Capacitor_SMD:C_0805_2012Metric","~","C161260","Murata Electronics","GCM21BR71H104KA37L"
"C7","4.7uF50V","Capacitor_SMD:C_1206_3216Metric","~","C307575","Samsung Electro-Mechanics","CL31B475KBHNFNE"
"C4","100uF50V","Capacitor_SMD:CP_Elec_8x10","~","C176665","Lelon","VEJ101M1HTR-0810"
"L1","4.7uH4.5A","projfp:SMMS0530","~","C181722","Shun Xiang Nuo Elec","SMMS0530-4R7M"
"D9","B540C-13-F","projfp:D_SMC","~","C72264","Diodes Incorporated","B540C-13-F"
"R24","60.4K","Resistor_SMD:R_0805_2012Metric","~","C273994","YAGEO","RC0805FR-0760K4L"
"R25","11.5K","Resistor_SMD:R_0805_2012Metric","~","C17418","Uniroyal Elec","0805W8F1152T5E"
"C12","47uF16V","Capacitor_SMD:C_1206_3216Metric","~","C92821","Taiyo Yuden","LMK316BJ476ML-T"
"C8","820pF50V","Capacitor_SMD:C_0805_2012Metric","~","C152862","Walsin Tech Corp","0805B821K500CT"
"R21","23.7K","Resistor_SMD:R_0805_2012Metric","~","C170848","Walsin Tech Corp","WR08X2372FTL"
"C9","56pF50V","Capacitor_SMD:C_0805_2012Metric","~","C296102","Walsin Tech Corp","0805N560J500CT"
"R18","73.2K","Resistor_SMD:R_0805_2012Metric","~","C170958","Walsin Tech Corp","WR08X7322FTL"
"U4","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","C6186","Advanced Monolithic Systems","AMS1117-3.3"
"C14","47uF6.3V","Capacitor_SMD:C_0805_2012Metric","~","C87159","Taiyo Yuden","JMK212BJ476MG-T"
"C13","47uF6.3V","Capacitor_SMD:C_0805_2012Metric","~","C87159","Taiyo Yuden","JMK212BJ476MG-T"
